Label;indegree;outdegree;Degree;modularity_class;eigencentrality;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;X;Y;Size;Color
AzzamIzzulhaq;1;0;1;719;0.004568;0;0;0;0;0.105943;0.276568;0;"#c0c0c0"
KelikWahyudian1;1;0;1;719;0.004568;0;0;0;0;0.140805;0.28006;0;"#c0c0c0"
wiedwiedd;0;1;1;219;0;1;1;1;0;0.266586;0.702205;0;"#c0c0c0"
NyoenWulandari;0;2;2;720;0;1;1;1;0;0.754331;0.874913;0.005848;"#c0c0c0"
TomoroArenLatte;1;0;1;720;0.004568;0;0;0;0;0.773191;0.884743;0;"#c0c0c0"
kekapasih;1;0;1;720;0.004568;0;0;0;0;0.745321;0.857376;0;"#c0c0c0"
BillArqam;0;1;1;251;0;1;1;1;0;0.581848;0.903168;0;"#c0c0c0"
namtacha;0;3;3;536;0;1;1;1;0;0.558619;0.245301;0.011696;"#ffa584"
arsdfbrian;1;0;1;536;0.004568;0;0;0;0;0.600892;0.205844;0;"#ffa584"
QadiIbnu;0;3;3;57;0;1;1;1;0;0.530109;0.950077;0.011696;"#c0c0c0"
Qonit19;1;0;1;57;0.004568;0;0;0;0;0.556861;0.950834;0;"#c0c0c0"
molidahm;1;0;1;57;0.004568;0;0;0;0;0.543377;0.942622;0;"#c0c0c0"
vivchess;0;1;1;721;0;1;1;1;0;0.940801;0.432904;0;"#c0c0c0"
donuttmatcha;1;0;1;721;0.004568;0;0;0;0;0.930435;0.419626;0;"#c0c0c0"
gogo74070675957;0;1;1;333;0;2;0.666667;0.75;0;0.154607;0.430099;0;"#ff7b00"
DavidWijaya82;1;1;2;333;0.004568;1;1;1;0;0.183954;0.404569;0.005848;"#ff7b00"
keripik25;0;1;1;158;0;1;1;1;0;0.313509;0.216314;0;"#853b22"
twkongko;0;2;2;722;0;1;1;1;0;0.165489;0.799184;0.005848;"#c0c0c0"
unilubis;1;0;1;722;0.004568;0;0;0;0;0.161714;0.778603;0;"#c0c0c0"
Endah_enen;1;0;1;722;0.004568;0;0;0;0;0.160187;0.811749;0;"#c0c0c0"
asepnolimit;0;2;2;219;0;1;1;1;0;0.284391;0.735441;0.005848;"#c0c0c0"
wansrosadi;1;0;1;219;0.004568;0;0;0;0;0.270136;0.765474;0;"#c0c0c0"
haienggal;0;1;1;333;0;1;1;1;0;0.487001;0.223432;0;"#ff7b00"
hadianihamami;0;1;1;219;0;1;1;1;0;0.273915;0.724661;0;"#c0c0c0"
TianaaEva;0;1;1;723;0;1;1;1;0;0.165553;0.249501;0;"#c0c0c0"
Honorertwetter;1;0;1;723;0.004568;0;0;0;0;0.176725;0.257583;0;"#c0c0c0"
theyeagergirl;0;1;1;724;0;1;1;1;0;0.977773;0.642783;0;"#c0c0c0"
rzleareinn;1;0;1;724;0.004568;0;0;0;0;0.96588;0.633772;0;"#c0c0c0"
opungilman;0;1;1;282;0;2;0.6;0.666667;0;0.324346;0.265072;0;"#ff5166"
_owh_gitu_ya_;0;4;4;537;0;1;1;1;0;0.495605;0.742353;0.017544;"#c0c0c0"
hazelnutkyu;1;0;1;537;0.004568;0;0;0;0;0.544685;0.756391;0;"#c0c0c0"
oceansskys;1;0;1;537;0.004568;0;0;0;0;0.548773;0.74377;0;"#c0c0c0"
radianbp;0;1;1;282;0;1;1;1;0;0.29492;0.542161;0;"#ff5166"
iM_BoTTT;0;2;2;359;0;2;0.75;0.833333;0;0.663991;0.65631;0.005848;"#ff86ff"
inershias;0;1;1;725;0;1;1;1;0;0.640503;0.936466;0;"#c0c0c0"
unhonourableson;1;0;1;725;0.004568;0;0;0;0;0.627887;0.943671;0;"#c0c0c0"
paperringed;0;1;1;726;0;1;1;1;0;0.078673;0.635812;0;"#c0c0c0"
univrs__;1;0;1;726;0.004568;0;0;0;0;0.090557;0.655205;0;"#c0c0c0"
toe_giman;2;0;2;536;0.009136;0;0;0;0;0.541775;0.319097;0.005848;"#ffa584"
Belangtiga;1;0;1;536;0.004568;0;0;0;0;0.593967;0.381191;0;"#ffa584"
hzbarkan;0;1;1;727;0;1;1;1;0;0.879604;0.802312;0;"#c0c0c0"
oatsugarhoney;1;0;1;727;0.004568;0;0;0;0;0.890373;0.792587;0;"#c0c0c0"
oldnewbuddy;0;3;3;771;0;1;1;1;0;0.756923;0.209325;0.011696;"#c0c0c0"
sahaetaanjink;1;0;1;771;0.004568;0;0;0;0;0.78391;0.215994;0;"#c0c0c0"
blueordinari;1;0;1;771;0.004568;0;0;0;0;0.788599;0.228097;0;"#c0c0c0"
cilubatupakhaji;0;1;1;91;0;1;1;1;0;0.152775;0.274518;0;"#c0c0c0"
kamle1n;0;2;2;728;0;1;1;1;0;0.842396;0.743697;0.005848;"#c0c0c0"
qsxrsaz;1;0;1;728;0.004568;0;0;0;0;0.832311;0.752857;0;"#c0c0c0"
sourvive;1;0;1;728;0.004568;0;0;0;0;0.858469;0.745776;0;"#c0c0c0"
BongCloud539123;0;2;2;344;0;1;1;1;0;0.470344;0.661525;0.005848;"#00c381"
Miko_nglad;1;0;1;344;0.004568;0;0;0;0;0.431613;0.688276;0;"#00c381"
carulabloom;0;1;1;460;0;1;1;1;0;0.691096;0.179425;0;"#c0c0c0"
lenteqra;0;1;1;729;0;1;1;1;0;0.493478;0.893426;0;"#c0c0c0"
sexieyt;1;0;1;729;0.004568;0;0;0;0;0.482969;0.886233;0;"#c0c0c0"
pandhandutt;0;1;1;536;0;1;1;1;0;0.731839;0.358651;0;"#ffa584"
Unknown31539924;0;3;3;536;0;1;1;1;0;0.495512;0.309924;0.011696;"#ffa584"
irmajuan242834;1;0;1;536;0.004568;0;0;0;0;0.486584;0.241892;0;"#ffa584"
capricorn_mrvin;1;0;1;536;0.004568;0;0;0;0;0.508962;0.241983;0;"#ffa584"
araysha03;0;1;1;26;0;1;1;1;0;0.514204;0.148611;0;"#c0c0c0"
masi_gui;0;2;2;730;0;1;1;1;0;0.043402;0.529111;0.005848;"#c0c0c0"
kdrama_menfess;1;0;1;730;0.004568;0;0;0;0;0.034886;0.540742;0;"#c0c0c0"
cicibercuit;1;0;1;730;0.004568;0;0;0;0;0.070637;0.53343;0;"#c0c0c0"
rainyreiiz39;0;1;1;731;0;1;1;1;0;0.963983;0.404201;0;"#c0c0c0"
terpamungkas;1;0;1;731;0.004568;0;0;0;0;0.976473;0.399064;0;"#c0c0c0"
si4riNew;0;1;1;359;0;1;1;1;0;0.699062;0.772473;0;"#ff86ff"
hanabi867;0;2;2;536;0;2;0.555556;0.6;0;0.459929;0.236875;0.005848;"#ffa584"
pulupulumiaw;1;0;1;536;0.004568;0;0;0;0;0.478965;0.18171;0;"#ffa584"
mozukic;0;1;1;732;0;1;1;1;0;0.272769;0.88304;0;"#c0c0c0"
wibukalcer;1;0;1;732;0.004568;0;0;0;0;0.294674;0.886934;0;"#c0c0c0"
kwakamitomie;0;12;12;163;0;1;1;1;0;0.334866;0.58663;0.064327;"#4d6400"
2TRafiS1;1;0;1;163;0.004568;0;0;0;0;0.27042;0.59429;0;"#4d6400"
alamtegarrrr;1;0;1;163;0.004568;0;0;0;0;0.259984;0.606068;0;"#4d6400"
mangOsteen_pop;0;1;1;337;0;1;1;1;0;0.660248;0.79043;0;"#5d426a"
yuandayb;0;2;2;219;0;2;0.666667;0.75;0;0.776107;0.233148;0.005848;"#c0c0c0"
HeyIndonesian;1;2;3;219;0.004568;1;1;1;0;0.7634;0.277463;0.011696;"#c0c0c0"
kabian76;0;1;1;246;0;2;0.666667;0.75;0;0.361821;0.408283;0;"#35b3ff"
enujstr;0;1;1;75;0;2;0.505882;0.511628;0;0.789706;0.579991;0;"#00e3ff"
nattanoraa;0;1;1;733;0;1;1;1;0;0.61347;0.164291;0;"#c0c0c0"
mfs_ub;1;0;1;733;0.004568;0;0;0;0;0.611234;0.148328;0;"#c0c0c0"
rickyadamp;0;2;2;480;0;1;1;1;0;0.206982;0.695586;0.005848;"#c0c0c0"
YunusMuham2252;1;0;1;480;0.004568;0;0;0;0;0.21191;0.681715;0;"#c0c0c0"
matnaetic;0;1;1;734;0;1;1;1;0;0.761504;0.909217;0;"#c0c0c0"
ImosyenelOrenji;1;0;1;734;0.004568;0;0;0;0;0.773394;0.917246;0;"#c0c0c0"
drlrst;1;0;1;110;0.004568;0;0;0;0;0.66874;0.198383;0;"#99d27a"
semesta_han;1;0;1;110;0.004568;0;0;0;0;0.647691;0.204333;0;"#99d27a"
JadwalBimbingan;0;1;1;735;0;1;1;1;0;0.223797;0.244804;0;"#c0c0c0"
azzlyzaa;2;0;2;735;0.009136;0;0;0;0;0.247395;0.22906;0.005848;"#c0c0c0"
itsachia;0;2;2;735;0;1;1;1;0;0.265755;0.203678;0.005848;"#c0c0c0"
tidaklvcv;1;0;1;735;0.004568;0;0;0;0;0.27974;0.200756;0;"#c0c0c0"
carockroro;0;3;3;536;0;1;1;1;0;0.536257;0.230245;0.011696;"#ffa584"
valen92677;1;0;1;536;0.004568;0;0;0;0;0.538676;0.17811;0;"#ffa584"
TongTji789;1;0;1;536;0.004568;0;0;0;0;0.524321;0.181902;0;"#ffa584"
ambitvious;0;3;3;736;0;1;1;1;0;0.080275;0.569721;0.011696;"#c0c0c0"
strawberrysasea;1;0;1;736;0.004568;0;0;0;0;0.078808;0.547692;0;"#c0c0c0"
emilmarioo;1;0;1;736;0.004568;0;0;0;0;0.064861;0.571842;0;"#c0c0c0"
iniakunsapasi;1;0;1;736;0.004568;0;0;0;0;0.091346;0.587884;0;"#c0c0c0"
tapsiteai;0;1;1;232;0;1;1;1;0;0.068803;0.457702;0;"#c0c0c0"
makimaisdead;0;1;1;75;0;2;0.505882;0.511628;0;0.862676;0.503875;0;"#00e3ff"
OakenStakee;0;1;1;737;0;1;1;1;0;0.083221;0.43289;0;"#c0c0c0"
handthatfeed5;1;0;1;737;0.004568;0;0;0;0;0.076172;0.418354;0;"#c0c0c0"
mandaro_alam;1;1;2;246;0.004568;1;1;1;0;0.444288;0.683969;0.005848;"#35b3ff"
KangSemproel;1;0;1;246;0.006891;0;0;0;0;0.418279;0.745012;0;"#35b3ff"
Sulhan04;0;2;2;537;0;1;1;1;0;0.332271;0.770635;0.005848;"#c0c0c0"
AyenBukanOyen;1;0;1;537;0.004568;0;0;0;0;0.327388;0.784494;0;"#c0c0c0"
nlavishly;0;2;2;618;0;1;1;1;0;0.766109;0.663432;0.005848;"#ff56b5"
fafasa_;1;0;1;618;0.004568;0;0;0;0;0.768536;0.686374;0;"#ff56b5"
AndreasAbdianto;0;3;3;536;0;2;0.714286;0.8;0;0.39549;0.425832;0.011696;"#ffa584"
STresnowati1;1;0;1;536;0.004568;0;0;0;0;0.319482;0.398629;0;"#ffa584"
GiftedMinpda;0;2;2;738;0;1;1;1;0;0.460701;0.936703;0.005848;"#c0c0c0"
