Source,Target
anyingpukimak,DPR_RI
anyingpukimak,asumsico
anyingpukimak,kemkominfo
eddusays,geloraco
SuketRambak,cnbcindonesia
ar1fd3rmawan,JhonSitorus_18
achamilan,tanyarlfes
mustafaagus007,msaid_didu
mustafaagus007,prabowo
mustafaagus007,Altcoin_Whale1
Capitalisborju,NOTASLIMBOY
chubbyneoguri,shrimpsnugget
Redgerbil5,jifortin
afishare23,prabowo
afishare23,hnirankara
tunggalcandra,prastow
AsrialChan53059,tempodotco
qimprutdalban,tonybulumanu
qimprutdalban,BANGSAygSUJUD
qimprutdalban,Ndons_Back
qimprutdalban,DarekaRendy
qimprutdalban,G3nX_files
qimprutdalban,EricRicaldo
qimprutdalban,florieliciouss
qimprutdalban,are_inismyname
qimprutdalban,FDonghun
qimprutdalban,Kimberley_PS08
qimprutdalban,99propaganda
qimprutdalban,prabowo
afifahafra79,prabowo
MaknaTelaga,ripbotttt
rahmanrmyn,geloraco
fufufafagnarly,Mdy_Asmara1701
fufufafagnarly,Barita564246
keuangannews_id,Keuangan
MelPrap170845,detikcom
LatteCookies_,hrdbacot
fajriot_,sugondese6666
Kasayanto_,ProfesorZubairi
Kasayanto_,csp_priyo
SemutMerah2024,bahlillahadalia
SemutMerah2024,prabowo
dibohongi_pakai,detikcom
RFhalessa25665,kompascom
pedulisehat,MardaniAliSera
suryudana,sugondese6666
FirdausyMuh,StefanAntonio__
alurpandang,txtfromkeuangan
gusbayu,Gerindra
gusbayu,prabowo
soulofdarkne55,iciocaica
_xoalsoxtm,naddokkie
coachaddie_off,prabowo
_xoalsoxtm,geminaist
awendehay,Johnwick2122
awendehay,CNNIndonesia
sentereus,ARSIPAJA
arddhe,ARSIPAJA
seizeyours,FPKSDPRRI
arrylesmana2,JhonSitorus_18
nyaselangit,gladdiandra
mehmed_II_,UmarHasibuan__
YTungge65518,anggaandinata
NatsratBayuni,tempodotco
hendrowijonarko,DitjenPajakRI
hendrowijonarko,KemenkeuRI
hendrowijonarko,gibran_tweet
hendrowijonarko,denismalhotra
k3ifirAdan,Pentolkecakot
k3ifirAdan,03__nakula
k3ifirAdan,dhunhilmenthol
jimdod108,Hilmi28
gyeongwanyu1,SayurLodehBTW2
gyeongwanyu1,fajarnugros
gyeongwanyu1,ImMaul
gyeongwanyu1,VainGloryjateng
gyeongwanyu1,SayurLodehBTW2
gyeongwanyu1,VainGloryjateng
gyeongwanyu1,lontecoklat
gyeongwanyu1,aprilmop224
gyeongwanyu1,fajarnugros
jimdod108,msaid_didu
AnnaAuroraLove,Tan_Mar3M
ersat83,PKSejahtera
EdwardSevino,SuluhKebenaran
EdwardSevino,prabowo
IbrahimCholid,threadshopee
IbrahimCholid,BpkBcw
NaufalFajarSep1,03__nakula
Semuett,Seph_Bimo
Semuett,dody_13
Semuett,RivaldiFaza
yosefikr,sstarviin
IshakSolih3,CNNIndonesia
tomingartun,jifortin
tomingartun,_BangFu
mad48294962,petitstardust
DiwanggaDiwang1,UGMYogyakarta
DiwanggaDiwang1,PPATK
DiwanggaDiwang1,Unair_Official
DiwanggaDiwang1,BuruhYogyakarta
DiwanggaDiwang1,MataNajwa
DiwanggaDiwang1,kratonjogja
DiwanggaDiwang1,trisakti_
DiwanggaDiwang1,ASEAN
DiwanggaDiwang1,jokowi
DiwanggaDiwang1,DPR_RI
DiwanggaDiwang1,BEMUI_Official
DiwanggaDiwang1,PARTAIBURUH
DiwanggaDiwang1,GUSDURians
DiwanggaDiwang1,itbofficial
DiwanggaDiwang1,prabowo
DiwanggaDiwang1,PBNU_164
skyeagle805,BLiliang
skyeagle805,prabowo
PallakaGO,pakmul63
theyudai,arman_dhani
ZyZee9,UUzro57651
ZyZee9,Agas08Jun
ZyZee9,prabowo
EriiicMartin,PKSejahtera
cakbulla,e100ss
lapislegitenak,wamadone
harga_promo,PDI_Perjuangan
harga_promo,PribumiIdn
harga_promo,brilliantAbed
choiminne,baejinbol
anayyana_,ChangeOrg_ID
YuanCakra,garagarabola_
Blueishgardenn,bagjatansah
cursedtune,suikerlaan
DenDjaka14,karimakayyim
yanjiro38,detikcom
put776,you_suphi
put776,tijabar
put776,tijabar
MarioIs_MyName,__AnakKolong
MarioIs_MyName,yyonirudy
MarioIs_MyName,kezia_stal
teledik,PKSejahtera
zenny_ahmad,Tan_Mar3M
3pmatevening,txtfrombook
Yusufbudiono6,catsedih
mhayyun21,PKSejahtera
kylietora,wincayyy
TechnoIsMe8789,detikcom
TechnoIsMe8789,ke_gemini22020
TechnoIsMe8789,Verraagustian_
fathullahfathu2,detikfinance
Rajafesbuk,everwintre
wxnnermor,tanyakanrl
trhrtw,asumsico
EfendiYanto,CNNIndonesia
jametsurabaya,kegblgnunfaedh
jametsurabaya,notfatjustflffy
ninta89552217,Mdy_Asmara1701
itsmejenox,nanalogics
itsmejenox,samoobit
BLiliang,skyeagle805
BLiliang,prabowo
Arwandkt,bpkri
Arwandkt,korantempo
Arwandkt,Metro_TV
Arwandkt,DitjenPajakRI
Arwandkt,mohmahfudmd
Arwandkt,prabowo
Kempa24739957,tempodotco
Biryani568211,tempodotco
ngelutenan,susahmiskin___
reprlien,bubbymun
kyloobites,maueval
iMasjidPonorogo,YouTube
ENYANGENYA71946,gm_gm
koganenohikari,yourguanyin
kkl988,kumparan
kimi198021,JhonSitorus_18
keuangannews_id,Keuangan
bukan4non,pandugik
bukan4non,pikirsiora
bukan4non,blessedchoke
pulicilogis,benstorming_
pulicilogis,helmi_stbd
pulicilogis,kayajompo
pulicilogis,xxitentacion
urlday_id,Bang_Ramzan
blckLotus_,GIBOLofficial
Grivod,detikfinance
oentoengsuratma,PelatihT1dur
PerciKecil,kemgelapan
jiheou,ninemetie
AliJoha20798516,democrazymedia
Awan2379,geloraco
EEnesje23201,kompascom
cimosoft,lyraazaleaa
elnayaja,e100ss
ilhambale11,putriiidsb
ilhambale11,prabowo
DenganApek,ashyourbae
DenganApek,jembermfs
DenganApek,siriuszss
DenganApek,mengaduw
DenganApek,petrikorhujan
Grivod,Metro_TV
RubyDjasa,50ngoku
RubyDjasa,ferrykoto
KRA_RizkiBaruna,indonesans
CharlesBerklay,Pak_Irv
CihuyMustajab,romeogadungan
